Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FS","Données de la sécurité alimentaire","2","Afghanistan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","23.4","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","7.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","4.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","2.4","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","3","Albanie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","6","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","3","Albanie","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","0.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","4","Algérie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","4","Algérie","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","1.9","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","79","Allemagne","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","<2.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","79","Allemagne","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","<2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","6","Andorre","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","6","Andorre","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","7","Angola","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","35.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","7","Angola","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","8.8","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","5.7","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","1.7","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","9","Argentine","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","3.7","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","9","Argentine","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","1.6","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","1","Arménie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","5.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","1","Arménie","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","0.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","10","Australie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","<2.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","10","Australie","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","<0.6","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","11","Autriche","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","<2.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","11","Autriche","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","<0.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","52","Azerbaïdjan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","<2.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","52","Azerbaïdjan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","<0.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","12","Bahamas","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","12","Bahamas","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","13","Bahreïn","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","13","Bahreïn","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","16","Bangladesh","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","17","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","16","Bangladesh","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","26.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","14","Barbade","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","4.7","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","14","Barbade","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","<0.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","57","Bélarus","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","<2.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","57","Bélarus","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","<0.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","255","Belgique","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","<2.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","255","Belgique","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","<0.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","23","Belize","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","6.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","23","Belize","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","<0.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","53","Bénin","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","10.8","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","53","Bénin","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","1.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","17","Bermudes","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20112013","2011-2013","%","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","17","Bermudes","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20112013","2011-2013","millions","","NV","Non disponible"
