country,croissance_population,food_proportion_animal_protein,food_protein_g_capita_day,food_supply_kcal_capita_day,animals_proportion_poultry_protein,poultry_food_proportion_import,gdp_per_capita_usd,income_variability,taux_urbanisation,political_stability,doing_business_score,cluster
Arménie,-0.04118786959797927,0.4803420701910263,90.03999999999998,2928.0,0.10427745664739883,0.8,3843.590751,2.698087431693989,0.6478241470823143,0.11,76.3,1
Afghanistan,0.375759505231575,0.2097854077253219,58.25,2089.0,0.07119476268412438,0.64,681.034215,1.5318334131163236,0.24908652826789426,-2.52,48.94,4
Albanie,-0.061725069551479377,0.5332974331358823,111.42,3193.0,0.0831369909121508,0.5952380952380952,4376.9705490000015,0.6890072032571251,0.6020754524357498,0.09,75.37,1
Algérie,0.18316062881328252,0.2717485863418877,91.96,3296.0,0.09123649459783913,0.010309278350515464,5471.123389,0.4247572815533981,0.7108671420696476,-1.2,56.92,6
Angola,0.4282158429024869,0.3213412504366049,57.26,2473.0,0.3173913043478261,0.9193548387096774,5258.4084950000015,1.3344116457743629,0.3509154815268975,-0.39,44.43,8
Antigua-et-Barbuda,0.12063968473989915,0.6788914108230797,83.71,2417.0,0.334330459264473,1.2,12194.549592,4.220107571369466,0.2266826136735361,0.96,63.79,8
Argentine,0.11043107746539048,0.6522459319886973,102.63,3229.0,0.1849417388706304,0.0024968789013732834,14417.421454,0.4645401052957572,0.8910114439552961,0.07,54.74,1
Australie,0.17534456565202028,0.6743814093517735,106.29,3275.0,0.22405133928571425,0.015784586815227482,66544.67095599999,0.7022900763358778,0.8989195545418893,1.03,84.29,2
Autriche,0.049160625706042634,0.5918463421523397,106.21,3768.0,0.1220171810372256,0.6645569620253164,50137.519579,0.1592356687898089,0.6524936166482198,1.36,83.92,2
Bahamas,0.1947578116587383,0.6514661740937427,86.62,2671.0,0.279638490164806,1.1176470588235294,28303.366072000004,2.059153874953201,0.8276190223730251,1.13,65.48,7
