country,croissance_population,food_proportion_animal_protein,food_protein_g_capita_day,food_supply_kcal_capita_day,gdp_per_capita_usd,cluster
Arménie,-0.04118786959797927,0.4803420701910263,90.03999999999998,2928.0,3843.590751,4
Afghanistan,0.375759505231575,0.2097854077253219,58.25,2089.0,681.034215,1
Albanie,-0.061725069551479377,0.5332974331358823,111.42,3193.0,4376.9705490000015,5
Algérie,0.18316062881328252,0.2717485863418877,91.96,3296.0,5471.123389,6
Angola,0.4282158429024869,0.3213412504366049,57.26,2473.0,5258.4084950000015,1
Antigua-et-Barbuda,0.12063968473989915,0.6788914108230797,83.71,2417.0,12194.549592,4
Argentine,0.11043107746539048,0.6522459319886973,102.63,3229.0,14417.421454,5
Australie,0.17534456565202028,0.6743814093517735,106.29,3275.0,66544.67095599999,3
Autriche,0.049160625706042634,0.5918463421523397,106.21,3768.0,50137.519579,3
Bahamas,0.1947578116587383,0.6514661740937427,86.62,2671.0,28303.366072000004,5
Barbade,0.03765178617340914,0.5725294650951949,88.24000000000002,2937.0,15755.427261,4
Bangladesh,0.13345147689559367,0.1776504297994269,55.84,2450.0,974.193541,1
Bermudes,-0.03235702173577937,0.6638766519823789,90.8,2671.0,89968.618136,3
Bolivie (État plurinational de),0.1804504212057998,0.4508407816997425,66.01,2257.0,2947.938522,1
Botswana,0.1796602523140054,0.40718470551958064,64.86,2326.0,7001.009879000001,1
Brésil,0.10919688917078683,0.5536372249710496,94.99,3263.0,12216.965936,5
Belize,0.2788652324155612,0.3951678951678951,73.26,2751.0,4685.249911999998,4
Îles Salomon,0.2613072975072128,0.3099166223168352,56.37,2390.0,1839.056491,1
Brunéi Darussalam,0.14807195470147638,0.5668557970238733,93.41,2985.0,44598.075686,5
Bulgarie,-0.06890674012071674,0.4944923371647509,83.52,2829.0,7645.932129000002,4
Myanmar,0.08027948576641443,0.4081113801452785,82.6,2571.0,1207.807683,4
Cameroun,0.31136904588168623,0.16721452050878946,69.97,2672.0,1493.748324,1
Canada,0.11469935663574014,0.5212005717008099,104.95,3494.0,52264.959967,3
Cabo Verde,0.13030401154413696,0.3792260692464358,73.65,2610.0,3558.7979,4
République centrafricaine,0.1300933152337025,0.371825482960712,46.07,1879.0,347.913167,1
Sri Lanka,0.06827504759616909,0.2731535756154748,59.71,2539.0,3620.448452000001,1
Tchad,0.4041811995700724,0.15465561224489796,62.72,2110.0,1051.306964,1
Chili,0.10528406456339057,0.5182005494505494,87.36000000000001,2979.0,15941.397939,4
"Chine, continentale",0.058521573343943034,0.4007345439706182,98.02,3109.0,6947.741982,6
Colombie,0.12314507983234345,0.5200372786579683,64.38,2804.0,8030.585914,4
Congo,0.35656451827955826,0.4306173795239017,51.67,2208.0,3747.359134,1
Costa Rica,0.1406771884727258,0.5459632294164668,75.06,2847.0,10569.665626,4
Cuba,0.014876274857412941,0.3496588157605107,90.86,3408.0,6760.153440000001,6
Chypre,0.1513069629203181,0.5804664347377915,77.61,2649.0,27944.122813,5
Azerbaïdjan,0.12246023642807358,0.32292002147074605,93.15,3118.0,7901.783462,6
Bénin,0.33028094336122793,0.2211702623001707,64.43,2619.0,910.669201,1
Danemark,0.04656589755127527,0.6411975388006245,108.89,3367.0,60942.805627,3
Dominique,0.032913415034311555,0.5139672131147539,76.25,2930.0,6933.4154290000015,4
République dominicaine,0.14647314379510612,0.4536082474226804,58.2,2615.0,6094.728502,4
Bélarus,-0.026812171677898292,0.5858026007247922,93.82,3249.0,7967.962369,4
Équateur,0.17848135545980634,0.5953389830508475,61.36,2345.0,6074.090829,4
Égypte,0.21391018635331305,0.2551336691204959,103.24,3522.0,3015.145298,6
El Salvador,0.04676218091328255,0.3511821974965229,71.9,2577.0,3515.9472,4
Estonie,-0.03740160491336264,0.5124157844080847,103.9,3253.0,19020.818691,5
Fidji,0.0772530454503153,0.42622282608695655,73.6,2944.0,4763.100059,4
Finlande,0.040082049272799784,0.6203703703703703,117.72,3368.0,49659.588178,3
France,0.05565342034051568,0.6274314665701619,110.53,3482.0,42532.438874,3
Polynésie française,0.10072072724638724,0.6588538977800723,96.85,2927.0,22045.687291,5
Djibouti,0.18200668323194247,0.2291571753986333,65.85,2607.0,1477.363042,1
Géorgie,-0.11643643857000165,0.35783461633970703,80.53999999999998,2904.0,3989.345341,4
Gabon,0.36827652983934,0.4967101466004849,86.63,2829.0,9679.722828,6
Gambie,0.3730115478284499,0.22911927201819954,61.54,2629.0,735.236078,1
Allemagne,-0.005158208832439004,0.6051776749680086,101.59,3498.0,46176.177749,3
Bosnie-Herzégovine,-0.046106539212705584,0.33198734039070177,91.63,3154.0,5042.748881,6
Ghana,0.28852799428291465,0.2666460204397646,64.58,3016.0,2401.815577,1
Kiribati,0.22093481073176213,0.4813855175235238,73.33,3040.0,1705.492959,4
Grèce,0.006913553323424804,0.544485294117647,108.8,3400.0,21186.790514,5
Grenade,0.034520146520146344,0.6010984246278365,69.19,2447.0,7955.606892,4
Guatemala,0.2476494098865658,0.2797740467597677,63.73,2419.0,3452.82893,1
Guinée,0.2391840339391147,0.17772215269086358,55.93,2566.0,726.0894040000002,1
Guyana,0.008278169917949718,0.4537106918238994,79.5,2764.0,3944.178813,4
Haïti,0.162113916345608,0.2126545149800964,47.73,2091.0,803.9739910000002,1
Honduras,0.2308793470860291,0.35758323057953145,64.88,2641.0,2136.773905,4
Chine - RAS de Hong-Kong,0.05396183836483237,0.7308406874129122,129.18,3290.0,38566.712121,3
Hongrie,-0.029605630314310183,0.5339928970065956,78.84,3036.0,13739.589942,4
Croatie,-0.02532270845893292,0.5688203912270302,84.35,3059.0,13595.306568,4
Islande,0.13570664555203638,0.7224801557585742,133.54000000000002,3379.0,49027.815665,3
Inde,0.1539080080954789,0.19900414937759334,60.25,2458.0,1499.38242,1
Indonésie,0.14276913304498207,0.2847724714584339,62.19,2776.0,3620.663981,1
Iran (République islamique d'),0.1253063659908309,0.2545829514207149,87.28,3095.0,6966.659601,6
Iraq,0.3221335835008674,0.2071349992142071,63.63,2545.0,6112.878863,1
Irlande,0.15617055438546612,0.5892191618943732,110.01,3599.0,51023.48606,3
Israël,0.2317633823916425,0.5655091689426454,128.15,3610.0,37452.126321,3
Italie,0.026157188370578455,0.5367741935483871,108.5,3578.0,35705.760553,3
Côte d'Ivoire,0.2424837897083916,0.2336352760211929,58.51000000000001,2799.0,1423.602446,1
Kazakhstan,0.12965400882662334,0.591847318742869,96.41,3264.0,13752.023575,5
Jamaïque,0.05135315580287059,0.4821358971027673,76.97,2745.0,5005.595035,4
Japon,0.0019140331252991414,0.5523766100535734,87.73,2727.0,40180.809978,5
Jordanie,0.5589802352294166,0.34150018846588764,79.59,3100.0,3995.672686,6
Kirghizistan,0.1339790422261855,0.4114607797087835,85.16,2817.0,1290.514,4
Kenya,0.31338206851677763,0.2571151358344114,61.84,2206.0,1229.101416,1
Cambodge,0.16879693995016298,0.291044776119403,65.66,2476.0,1028.41917,1
République populaire démocratique de Corée,0.06149217411105368,0.18305762588620253,55.01,2094.0,666.272365,1
République de Corée,0.03945333003653628,0.4795218295218295,96.2,3334.0,26024.012111,5
Koweït,0.6589162046509227,0.4950110864745011,108.24,3501.0,48401.609794,6
Lettonie,-0.11492491678502904,0.5577196629828208,91.39,3175.0,14823.119575,4
République démocratique populaire lao,0.1639708612860722,0.21175616835994196,68.9,2451.0,1838.80602,1
Liban,0.4254095136410889,0.3678333960607201,79.71000000000002,3065.0,8882.803954,6
Lesotho,0.10388629980652686,0.17383025027203486,73.52,2529.0,1193.004244,1
Libéria,0.3754719239543387,0.21614445034519386,37.66,2204.0,451.67255300000005,1
Lituanie,-0.12213679198864093,0.6144762210796916,124.48,3417.0,15483.230066,5
Chine - RAS de Macao,0.2514283478975197,0.6443108720868923,94.83,2915.0,89525.34487999998,3
Madagascar,0.32883608045099,0.21469895007499465,46.67,2052.0,538.048867,1
Malawi,0.3437276150395969,0.12068164213787763,64.55,2367.0,319.134755,1
Malaisie,0.2032517058510528,0.5564407402867998,81.59,2916.0,10882.259575,4
