country_code,country,total_population,distance_capitale_paris,credendo_political_risk,credendo_commercial_risk,gdp_usd,chicken_imports_quantity_number,poultry_imports_quantity_tonnes,cannedchicken_imports_quantity_tonnes,chicken_stock_number,poultry_production_quantity_tonnes,chicken_production_quantity_tonnes,poultry_production_proportion_import
1,Arménie,2893509.0,3436.0,4.0,2.0,11121464430.0,7243000.0,31080.0,86.0,3825000.0,8200.0,5468.0,4.0
2,Afghanistan,31731688.0,5587.0,7.0,3.0,21610365221.0,2874000.0,48389.0,,12053000.0,26400.0,23718.0,1.8461538461538463
3,Albanie,2918978.0,1604.0,4.0,2.0,12776280738.0,6443000.0,21813.0,2008.0,8928000.0,17000.0,15788.0,1.4705882352941178
4,Algérie,38338562.00000001,1347.0,3.0,3.0,209755003250.0,5699000.0,0.0,2393.0,130000000.0,267000.0,261301.0,0.010416666666666666
7,Angola,25998340.0,6512.0,6.0,3.0,136709891899.99998,702000.0,320249.0,,27207000.0,29880.0,29655.0,11.4
8,Antigua-et-Barbuda,97824.0,6713.0,5.0,3.0,1192919619.0,23000.0,5570.0,274.0,150000.0,42.0,17.0,inf
9,Argentine,42539925.0,11062.0,6.0,3.0,613316027360.0001,625000.0,2176.0,1331.0,107000000.0,1921000.0,1779100.0,0.0020335536349771225
10,Australie,23150729.0,16941.0,1.0,1.0,1540557643700.0,,6211.0,8736.0,98653000.0,1066506.0,1061028.0,0.015482695810564663
11,Autriche,8577782.0,1036.0,1.0,1.0,430068712970.0,11802000.0,40627.0,21488.0,16300000.0,109176.0,107542.0,0.8015267175572519
12,Bahamas,377240.0,7213.0,3.0,3.0,10677161817.0,515000.0,12620.0,2688.0,3000000.0,6720.0,6553.0,2.7142857142857144
14,Barbade,282509.0,6884.0,4.0,3.0,4451050000.0,0.0,28.0,205.0,3600000.0,13399.0,15354.0,0.07142857142857142
16,Bangladesh,157571292.0,7920.0,3.0,2.0,153504934850.0,2356000.0,18.0,48.0,249010000.0,173600.0,171920.0,0.0
17,Bermudes,62771.0,,2.0,2.0,5647420129.0,0.0,2070.0,907.0,50000.0,120.0,120.0,inf
19,Bolivie (État plurinational de),10400264.000000002,10074.0,3.0,2.0,30659338880.000004,1623000.0,492.0,54.0,190543000.0,366505.0,376472.0,0.002717391304347826
20,Botswana,2128507.0,8514.0,1.0,2.0,14901698534.000002,807000.0,3036.0,1361.0,1081000.0,7779.0,6792.0,1.2
21,Brésil,202408631.99999997,8735.0,3.0,3.0,2472819362300.0,156000.0,3284.0,11.0,1246638000.0,11964353.0,12435513.0,0.00023228803716608595
23,Belize,344181.0,8661.0,4.0,3.0,1612573999.9999998,121000.0,1.0,85.0,1560000.0,16018.0,15823.0,0.0
25,Îles Salomon,563513.0,15177.0,3.0,3.0,1036332240.0,,1509.0,55.0,240000.0,284.0,288.0,inf
26,Brunéi Darussalam,405716.0,11223.0,1.0,2.0,18094152875.0,719000.0,684.0,919.0,19000000.0,26580.0,25680.0,0.08333333333333333
27,Bulgarie,7266141.0,1760.0,1.0,1.0,55556420928.99999,3079000.0,73970.0,3486.0,13837000.0,76776.0,102457.0,0.8775510204081632
28,Myanmar,51448196.0,8644.0,4.0,3.0,62139526379.99999,300000.0,1200.0,,219377000.0,1250913.0,1081899.0,0.0008361204013377926
32,Cameroun,21655715.0,5085.0,4.0,3.0,32348187978.0,1696000.0,784.0,281.0,48500000.0,72000.0,71802.0,0.013888888888888888
33,Canada,35255495.0,5653.0,1.0,1.0,1842627034800.0,60652000.0,164218.0,39881.0,166500000.0,1080636.0,992270.0,0.18022328548644337
35,Cabo Verde,520106.0,4453.0,4.0,2.0,1850952141.0,141000.0,7037.0,855.0,1117000.0,929.0,758.0,9.0
37,République centrafricaine,4499653.0,5188.0,7.0,3.0,1565488523.0,0.0,682.0,20.0,6700000.0,6000.0,5994.0,0.16666666666666666
38,Sri Lanka,20527233.0,8533.0,4.0,3.0,74317788942.99998,496000.0,295.0,131.0,16646000.0,135410.0,106029.0,0.0
39,Tchad,13133589.0,4256.0,5.0,3.0,13807433574.0,,271.0,,6000000.0,6105.0,5355.0,0.0
40,Chili,17462982.0,11659.0,2.0,1.0,278384345260.0,385000.0,67245.0,6075.0,47558000.0,577503.0,576578.0,0.11982248520710059
41,"Chine, continentale",1382793211.9999998,8225.0,1.0,3.0,9607290451800.0,3190000.0,540156.0,18.0,4741500000.0,12785400.0,12790840.0,0.03197372022994799
44,Colombie,47342981.0,8640.0,3.0,2.0,380191876350.0,713000.0,29401.0,18088.0,139986000.0,1274270.0,1276788.0,0.045454545454545456
46,Congo,4751393.0,6047.0,6.0,3.0,17805175957.0,32000.0,45878.0,59.0,2850000.0,6700.0,6700.0,7.285714285714286
48,Costa Rica,4706401.0,8926.0,2.0,2.0,49745084870.0,1214000.0,3686.0,1133.0,23200000.0,119838.0,108385.0,0.06956521739130435
49,Cuba,11412167.0,7729.0,7.0,3.0,77148000000.0,0.0,173432.0,9155.0,32416000.0,32448.0,34667.0,6.09375
50,Chypre,1143896.0,2955.0,3.0,2.0,24085877775.999996,347000.0,8836.0,2203.0,2495000.0,21819.0,23427.0,0.5909090909090909
52,Azerbaïdjan,9385293.0,3817.0,4.0,3.0,74160553009.00002,6942000.0,2511.0,1434.0,23600000.0,94411.0,94960.0,0.05319148936170213
53,Bénin,10004451.0,4717.0,5.0,2.0,9110745403.0,73000.0,114725.0,1523.0,18198000.0,12436.0,24045.0,10.277777777777779
54,Danemark,5637816.999999999,1028.0,1.0,1.0,343584385590.0,4378000.0,58330.0,29496.0,18981000.0,168268.0,168000.0,0.5872093023255814
55,Dominique,72400.0,6828.0,5.0,3.0,501979276.99999994,98000.0,3900.0,102.0,200000.0,362.0,260.0,inf
56,République dominicaine,10281296.0,7188.0,2.0,2.0,62661707772.0,989000.0,24000.0,,170000000.0,284242.0,269514.0,0.08823529411764706
57,Bélarus,9478902.0,1829.0,5.0,2.0,75527534437.0,22533000.0,11818.0,1106.0,39200000.0,382500.0,365084.0,0.04155844155844156
58,Équateur,15661546.999999998,9370.0,5.0,3.0,95129659000.0,2824000.0,0.0,501.0,163730000.0,340000.0,334980.0,0.0029239766081871343
59,Égypte,89807433.0,3216.0,4.0,3.0,270782459350.00003,64000.0,123968.0,923.0,140200000.0,952707.0,834135.0,0.1179245283018868
60,El Salvador,6250776.999999999,8986.0,3.0,2.0,21977401891.999996,3378000.0,11143.0,2982.0,15500000.0,113850.0,131828.0,0.14912280701754385
63,Estonie,1321560.0,1861.0,1.0,2.0,25137153149.0,432000.0,14875.0,2934.0,2097000.0,18118.0,16935.0,1.1111111111111112
66,Fidji,879715.0,16599.0,4.0,2.0,4190170567.9999995,3000.0,845.0,67.0,4900000.0,17076.0,16498.0,0.05555555555555555
67,Finlande,5436616.0,1911.0,1.0,1.0,269980111640.00003,80000.0,2584.0,9334.0,6861000.0,103730.0,105416.0,0.14414414414414414
68,France,63919917.0,0.0,1.0,2.0,2811077725700.0,18100000.0,310000.0,50800.0,251581000.0,1119868.0,1205600.0,0.24853113983548766
70,Polynésie française,273528.0,,3.0,2.0,6030112753.0,222000.0,14291.0,590.0,305000.0,625.0,483.0,inf
72,Djibouti,896688.0,5597.0,5.0,3.0,1324733712.0,0.0,1794.0,,,,,inf
73,Géorgie,4045910.0,3372.0,4.0,2.0,16140532208.0,1192000.0,42890.0,256.0,5760000.0,10100.0,8529.0,4.3
74,Gabon,1817271.0,5439.0,5.0,3.0,17590679583.0,381000.0,58357.0,368.0,3200000.0,3920.0,3691.0,17.5
75,Gambie,1859323.9999999998,4308.0,6.0,3.0,1367042085.0,10000.0,3469.0,0.0,1300000.0,1550.0,1547.0,4.0
79,Allemagne,81265139.00000001,879.0,1.0,1.0,3752513503300.0,166356000.0,343958.0,195737.0,160774000.0,950940.0,1108088.0,0.540837336993823
80,Bosnie-Herzégovine,3604999.0000000005,1348.0,5.0,2.0,18179104674.000004,888000.0,11804.0,1217.0,24505000.0,41549.0,40714.0,0.3333333333333333
81,Ghana,26346251.0,4828.0,4.0,3.0,63278836051.0,7588000.0,168235.0,1460.0,63732000.0,50985.0,47385.0,3.392156862745098
83,Kiribati,108535.0,14374.0,6.0,2.0,185105678.0,0.0,683.0,118.0,610000.0,807.0,765.0,1.0
84,Grèce,11321300.0,2100.0,4.0,3.0,239862011450.0,5294000.0,48113.0,10232.0,30324000.0,177731.0,116263.0,0.5572519083969466
86,Grenade,105908.99999999999,7124.0,4.0,2.0,842570369.9999999,358000.0,6134.0,97.0,270000.0,676.0,402.0,7.0
89,Guatemala,15596214.0,9005.0,3.0,2.0,53851058898.0,15068000.0,82097.0,2950.0,36000000.0,192308.0,171760.0,0.4635416666666667
90,Guinée,11536615.0,4626.0,6.0,3.0,8376613912.000001,701000.0,9213.0,344.0,25286000.0,13720.0,6457.0,1.4444444444444444
91,Guyana,758081.0,7317.0,5.0,2.0,2990007019.0,36000.0,1598.0,330.0,25200000.0,29280.0,29220.0,0.06896551724137931
93,Haïti,10431776.0,7364.0,5.0,3.0,8386876587.999999,1857000.0,70283.0,186.0,5700000.0,8100.0,7667.0,7.777777777777778
95,Honduras,8657785.0,8809.0,3.0,2.0,18499729063.0,1395000.0,8327.0,5748.0,44500000.0,150700.0,153540.0,0.11258278145695365
96,Chine - RAS de Hong-Kong,7148571.0,,1.0,1.0,275696879830.0,3679000.0,723484.0,115502.0,1350000.0,27800.0,1.0,42.357142857142854
97,Hongrie,9841697.0,1247.0,2.0,1.0,135220881109.99998,18116000.0,28687.0,12276.0,30075000.0,244240.0,285474.0,0.1382716049382716
98,Croatie,4277806.0,1081.0,2.0,1.0,58158084010.00001,2422000.0,12264.0,1174.0,4125000.0,24800.0,26086.0,0.6206896551724138
99,Islande,327029.0,2231.0,1.0,2.0,16033517528.999998,0.0,698.0,133.0,217000.0,7879.0,7879.0,0.125
100,Inde,1278562207.0,6597.0,2.0,2.0,1917053695700.0,94000.0,0.0,39.0,709000000.0,2848922.0,2328258.0,0.0
101,Indonésie,252032263.0,11598.0,2.0,2.0,912524136720.0001,12000.0,11.0,224.0,1793022000.0,1837903.0,1837790.0,0.0005341880341880342
102,Iran (République islamique d'),77435384.0,4216.0,7.0,3.0,539465961430.0,981000.0,17260.0,51.0,927000000.0,1967000.0,1962330.0,0.008590197069226882
103,Iraq,33883145.0,3868.0,6.0,3.0,207123560890.00003,978000.0,412851.0,,51198000.0,101000.0,85630.0,4.693181818181818
104,Irlande,4681967.000000001,780.0,1.0,1.0,238890277959.99997,4840000.0,56476.0,29618.0,15000000.0,87046.0,104710.0,0.7766990291262136
105,Israël,7821105.0,3286.0,2.0,1.0,292917012430.0,312000.0,0.0,0.0,40179000.0,443151.0,442537.0,0.0
106,Italie,59668000.0,1109.0,1.0,2.0,2130491320700.0,9241000.0,45786.0,22686.0,136000000.0,904913.0,914000.0,0.07078925956061839
107,Côte d'Ivoire,21966312.0,4883.0,4.0,2.0,31271295500.0,421000.0,871.0,112.0,58380000.0,47553.0,47142.0,0.020833333333333332
108,Kazakhstan,17207256.999999996,4763.0,4.0,2.0,236634603930.0,5800000.0,168869.0,1108.0,32419000.0,129725.0,127538.0,1.2573529411764706
109,Jamaïque,2851807.0000000005,7735.0,4.0,2.0,14274990961.000002,6000.0,33119.0,3384.0,13500000.0,103820.0,103813.0,0.41346153846153844
110,Japon,128312920.0,9723.0,1.0,2.0,5155717056300.0,557000.0,414326.0,445942.0,306408000.0,2078646.0,1448515.0,0.7237834132967786
112,Jordanie,8413464.0,3372.0,5.0,2.0,33617448302.999996,942000.0,73653.0,2067.0,27000000.0,182264.0,197464.0,0.46153846153846156
113,Kirghizistan,5683808.000000001,5425.0,5.0,3.0,7335033799.0,128000.0,50400.0,4.0,3793000.0,6200.0,6021.0,8.5
114,Kenya,44826849.0,6493.0,5.0,3.0,55096743583.0,309000.0,9.0,3.0,39872000.0,23754.0,25761.0,0.0
115,Cambodge,15022692.0,9952.0,4.0,3.0,15449624434.000002,136000.0,516.0,456.0,13000000.0,17500.0,17415.0,0.037037037037037035
116,République populaire démocratique de Corée,24985976.000000004,8781.0,7.0,3.0,16565034100.999998,,,,15309000.0,33000.0,33000.0,0.0
117,République de Corée,50169242.0,8976.0,1.0,1.0,1305604961400.0,608000.0,110334.0,19697.0,151337000.0,639000.0,615498.0,0.18985507246376812
118,Koweït,3598385.0,4412.0,3.0,3.0,174167626659.99997,2707000.0,129835.0,5141.0,43960000.0,46216.0,40059.0,3.159090909090909
119,Lettonie,2040783.9999999998,1705.0,1.0,1.0,30250785258.999996,1888000.0,22608.0,3841.0,4911000.0,26830.0,25865.0,1.0740740740740742
120,République démocratique populaire lao,6494557.0,9248.0,6.0,3.0,11942230508.0,955000.0,0.0,,30727000.0,24000.0,20326.0,0.0
121,Liban,5276102.0,3196.0,6.0,3.0,46866579707.0,976000.0,11222.0,3479.0,59500000.0,85106.0,83475.0,0.19318181818181818
122,Lesotho,2117361.0,9056.0,4.0,3.0,2526020659.0,3388000.0,17229.0,,367000.0,1600.0,1600.0,4.25
123,Libéria,4286291.0,4896.0,6.0,3.0,1936000000.0,0.0,25290.0,,7600000.0,12062.0,11581.0,1.9230769230769231
126,Lituanie,2997334.0000000005,1698.0,1.0,2.0,46408411908.0,5343000.0,26544.0,2473.0,8813000.0,87489.0,87367.0,0.3548387096774194
128,Chine - RAS de Macao,575841.0,,1.0,1.0,51552364121.0,2700000.0,12500.0,1200.0,730000.0,3600.0,1170.0,4.25
129,Madagascar,22961146.0,8771.0,5.0,3.0,12354218579.0,31000.0,27.0,14.0,27000000.0,38400.0,38377.0,0.0
130,Malawi,16577147.0,7652.0,6.0,3.0,5290343750.0,197000.0,264.0,34.0,17200000.0,77711.0,22756.0,0.0
131,Malaisie,29706724.0,10437.0,2.0,2.0,323276281680.0,2477000.0,45412.0,1251.0,274932000.0,1297703.0,1367441.0,0.03223593964334705
132,Maldives,397397.0,8298.0,4.0,3.0,3295009230.0,16000.0,9894.0,251.0,,,,inf
133,Mali,16477818.0,4144.0,6.0,2.0,13245776666.0,1397000.0,329.0,1702.0,36850000.0,44136.0,44246.0,0.06818181818181818
134,Malte,423246.0,1752.0,1.0,1.0,10146195098.999998,16000.0,5058.0,2542.0,918000.0,4115.0,4062.0,2.25
136,Mauritanie,3946170.0,3803.0,6.0,3.0,5639825064.0,4000.0,17143.0,2.0,4600000.0,4640.0,4630.0,3.4
137,Maurice,1255290.0,9425.0,2.0,2.0,12129658758.0,178000.0,82.0,1323.0,14500000.0,46800.0,48421.0,0.0425531914893617
138,Mexique,122535969.0,9199.0,2.0,2.0,1274443916300.0,3842000.0,667549.0,17573.0,524271000.0,2808032.0,2801250.0,0.2983134223471539
141,Mongolie,2869107.0,7056.0,5.0,2.0,12582094621.0,200000.0,8149.0,58.0,489000.0,123.0,139.0,inf
