group_code,group_name,country_code,country
5100,Afrique,202,Afrique du Sud
5100,Afrique,4,Algérie
5100,Afrique,7,Angola
5100,Afrique,53,Bénin
5100,Afrique,20,Botswana
5100,Afrique,233,Burkina Faso
5100,Afrique,29,Burundi
5100,Afrique,35,Cabo Verde
5100,Afrique,32,Cameroun
5100,Afrique,45,Comores
5100,Afrique,46,Congo
5100,Afrique,107,Côte d'Ivoire
5100,Afrique,72,Djibouti
5100,Afrique,59,Égypte
5100,Afrique,178,Érythrée
5100,Afrique,209,Eswatini
5100,Afrique,238,Éthiopie
5100,Afrique,62,Éthiopie RDP
5100,Afrique,74,Gabon
5100,Afrique,75,Gambie
5100,Afrique,81,Ghana
5100,Afrique,90,Guinée
5100,Afrique,61,Guinée équatoriale
5100,Afrique,175,Guinée-Bissau
5100,Afrique,114,Kenya
5100,Afrique,122,Lesotho
5100,Afrique,123,Libéria
5100,Afrique,124,Libye
5100,Afrique,129,Madagascar
5100,Afrique,130,Malawi
5100,Afrique,133,Mali
5100,Afrique,143,Maroc
5100,Afrique,137,Maurice
5100,Afrique,136,Mauritanie
5100,Afrique,270,Mayotte
5100,Afrique,144,Mozambique
5100,Afrique,147,Namibie
5100,Afrique,158,Niger
5100,Afrique,159,Nigéria
5100,Afrique,226,Ouganda
5100,Afrique,37,République centrafricaine
5100,Afrique,250,République démocratique du Congo
5100,Afrique,3698,République Unie de Tanzanie  Zanzibar
5100,Afrique,215,République-Unie de Tanzanie
5100,Afrique,182,Réunion
5100,Afrique,184,Rwanda
5100,Afrique,205,Sahara occidental
5100,Afrique,187,Sainte-Hélène  Ascension et Tristan de Cunha
5100,Afrique,193,Sao Tomé-et-Principe
5100,Afrique,195,Sénégal
5100,Afrique,196,Seychelles
5100,Afrique,197,Sierra Leone
5100,Afrique,201,Somalie
5100,Afrique,276,Soudan
5100,Afrique,206,Soudan (ex)
5100,Afrique,206,Soudan (ex)
5100,Afrique,277,Soudan du Sud
5100,Afrique,209,Swaziland
5100,Afrique,39,Tchad
5100,Afrique,24,Territoire britanique de l'Océan Indien
5100,Afrique,217,Togo
5100,Afrique,222,Tunisie
5100,Afrique,251,Zambie
5100,Afrique,181,Zimbabwe
5100,Afrique,270,Майотта
5208,Amérique du Nord et Europe,3,Albanie
5208,Amérique du Nord et Europe,79,Allemagne
5208,Amérique du Nord et Europe,6,Andorre
5208,Amérique du Nord et Europe,11,Autriche
5208,Amérique du Nord et Europe,57,Bélarus
5208,Amérique du Nord et Europe,255,Belgique
5208,Amérique du Nord et Europe,17,Bermudes
5208,Amérique du Nord et Europe,80,Bosnie-Herzégovine
5208,Amérique du Nord et Europe,27,Bulgarie
5208,Amérique du Nord et Europe,33,Canada
5208,Amérique du Nord et Europe,98,Croatie
5208,Amérique du Nord et Europe,54,Danemark
5208,Amérique du Nord et Europe,203,Espagne
5208,Amérique du Nord et Europe,63,Estonie
5208,Amérique du Nord et Europe,231,États-Unis d'Amérique
5208,Amérique du Nord et Europe,185,Fédération de Russie
5208,Amérique du Nord et Europe,67,Finlande
5208,Amérique du Nord et Europe,68,France
5208,Amérique du Nord et Europe,84,Grèce
5208,Amérique du Nord et Europe,85,Groenland
5208,Amérique du Nord et Europe,97,Hongrie
5208,Amérique du Nord et Europe,104,Irlande
5208,Amérique du Nord et Europe,99,Islande
5208,Amérique du Nord et Europe,106,Italie
5208,Amérique du Nord et Europe,119,Lettonie
5208,Amérique du Nord et Europe,154,l'ex-République yougoslave de Macédoine
5208,Amérique du Nord et Europe,126,Lituanie
5208,Amérique du Nord et Europe,256,Luxembourg
5208,Amérique du Nord et Europe,134,Malte
5208,Amérique du Nord et Europe,273,Monténégro
5208,Amérique du Nord et Europe,162,Norvège
5208,Amérique du Nord et Europe,150,Pays-Bas
5208,Amérique du Nord et Europe,173,Pologne
5208,Amérique du Nord et Europe,174,Portugal
5208,Amérique du Nord et Europe,146,République de Moldova
5208,Amérique du Nord et Europe,183,Roumanie
5208,Amérique du Nord et Europe,229,Royaume-Uni
5208,Amérique du Nord et Europe,272,Serbie
5208,Amérique du Nord et Europe,199,Slovaquie
5208,Amérique du Nord et Europe,198,Slovénie
5208,Amérique du Nord et Europe,210,Suède
5208,Amérique du Nord et Europe,211,Suisse
5208,Amérique du Nord et Europe,167,Tchéquie (la)
5208,Amérique du Nord et Europe,230,Ukraine
5205,Amérique Latine et Caraïbes,8,Antigua-et-Barbuda
5205,Amérique Latine et Caraïbes,9,Argentine
5205,Amérique Latine et Caraïbes,12,Bahamas
5205,Amérique Latine et Caraïbes,14,Barbade
5205,Amérique Latine et Caraïbes,23,Belize
5205,Amérique Latine et Caraïbes,19,Bolivie (État plurinational de)
5205,Amérique Latine et Caraïbes,21,Brésil
5205,Amérique Latine et Caraïbes,40,Chili
5205,Amérique Latine et Caraïbes,44,Colombie
5205,Amérique Latine et Caraïbes,48,Costa Rica
5205,Amérique Latine et Caraïbes,49,Cuba
5205,Amérique Latine et Caraïbes,55,Dominique
5205,Amérique Latine et Caraïbes,60,El Salvador
5205,Amérique Latine et Caraïbes,58,Équateur
5205,Amérique Latine et Caraïbes,86,Grenade
5205,Amérique Latine et Caraïbes,89,Guatemala
5205,Amérique Latine et Caraïbes,91,Guyana
5205,Amérique Latine et Caraïbes,93,Haïti
5205,Amérique Latine et Caraïbes,95,Honduras
5205,Amérique Latine et Caraïbes,109,Jamaïque
5205,Amérique Latine et Caraïbes,138,Mexique
5205,Amérique Latine et Caraïbes,157,Nicaragua
5205,Amérique Latine et Caraïbes,166,Panama
5205,Amérique Latine et Caraïbes,169,Paraguay
5205,Amérique Latine et Caraïbes,170,Pérou
5205,Amérique Latine et Caraïbes,177,Porto Rico
5205,Amérique Latine et Caraïbes,56,République dominicaine
5205,Amérique Latine et Caraïbes,189,Sainte-Lucie
5205,Amérique Latine et Caraïbes,188,Saint-Kitts-et-Nevis
5205,Amérique Latine et Caraïbes,191,Saint-Vincent-et-les Grenadines
5205,Amérique Latine et Caraïbes,207,Suriname
5205,Amérique Latine et Caraïbes,220,Trinité-et-Tobago
5205,Amérique Latine et Caraïbes,234,Uruguay
5205,Amérique Latine et Caraïbes,236,Venezuela (République bolivarienne du)
5300,Asie,2,Afghanistan
5300,Asie,194,Arabie saoudite
5300,Asie,1,Arménie
5300,Asie,52,Azerbaïdjan
5300,Asie,13,Bahreïn
5300,Asie,16,Bangladesh
5300,Asie,18,Bhoutan
5300,Asie,26,Brunéi Darussalam
5300,Asie,115,Cambodge
5300,Asie,351,Chine
5300,Asie,96,Chine - RAS de Hong-Kong
5300,Asie,128,Chine - RAS de Macao
5300,Asie,41,Chine  continentale
5300,Asie,214,Chine  Taiwan Province de
5300,Asie,50,Chypre
5300,Asie,225,Émirats arabes unis
5300,Asie,73,Géorgie
5300,Asie,100,Inde
5300,Asie,101,Indonésie
5300,Asie,102,Iran (République islamique d')
5300,Asie,103,Iraq
5300,Asie,105,Israël
5300,Asie,110,Japon
5300,Asie,112,Jordanie
5300,Asie,108,Kazakhstan
5300,Asie,113,Kirghizistan
5300,Asie,118,Koweït
