Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1991","1991","USD","1337.4","","Donnée officielle"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1992","1992","USD","1374.1","","Donnée officielle"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1993","1993","USD","1393.6","","Donnée officielle"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1994","1994","USD","1481.4","","Donnée officielle"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1995","1995","USD","1561.3","","Donnée officielle"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1996","1996","USD","1366.7","","Donnée officielle"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1997","1997","USD","1462","","Donnée officielle"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1998","1998","USD","1297.1","","Donnée officielle"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","1999","1999","USD","1035.5","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2000","2000","USD","955.3","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2001","2001","USD","875.4","Fc","Donnée calculée"
