dataframe,year_max
population,2017.0
animals_bilans_alimentaires,2013.0
vegetals_bilans_alimentaires,2013.0
poultry_bilans_alimentaires,2013.0
securite_alimentaire,2017.0
indicateurs_macro_usdcourants,2017.0
indicateurs_macro_usd2010,2017.0
chicken_production_price,2017.0
commerce_poulets_vivants,2016.0
commerce_viande_volaille,2016.0
commerce_boite_poulet,2016.0
france_exports_viande_volaille,2016.0
france_exports_boite_poulet,2016.0
france_exports_poulets_vivants,2016.0
chicken_stock,2017.0
production_quantity_volaille,2017.0
production_quantity_poulet,2013.0
production_value_volaille,2016.0
production_value_poulet,2016.0
