Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","35530.081","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","56717.156","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","3","Albanie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2930.187","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","4","Algérie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","41318.142","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","79","Allemagne","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","82114.224","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","6","Andorre","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","76.965","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","29784.193","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","258","Anguilla","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","14.909","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","8","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","102.012","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","32938.213","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","9","Argentine","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","44271.041","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","1","Arménie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","2930.45","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","22","Aruba","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","105.264","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","10","Australie","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","24450.561","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","11","Autriche","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","8735.453","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","9827.589","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","12","Bahamas","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","395.361","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","1492.584","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","164669.751","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","14","Barbade","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","285.719","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","57","Bélarus","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","9468.338","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","255","Belgique","511","Population totale","3010","Population-Estimations","2017","2017","1000 personnes","11429.336","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
