Country Code,Doing Business Export Score
2,48.94
3,75.37
4,56.92
7,44.43
8,63.79
9,54.74
1,76.3
10,84.29
11,83.92
52,78.95
12,65.48
13,71.4
16,44.23
14,63.55
57,77.16
255,83.73
23,64.86
53,56.71
18,68.1
19,51.53
80,68.12
20,69.87
21,62.5
26,71.42
27,76.39
233,58.9
29,52.52
35,60.16
115,54.14
32,41.6
33,83.08
37,36.68
39,34.47
40,74.76
41,75.61
44,63.03
45,45.4
250,33.96
46,37.99
48,64.93
107,60.92
98,76.42
50,77.19
167,80.28
54,88.54
72,64.55
55,66.45
56,61.68
58,58.46
59,47.78
60,69.43
61,36.8
178,32.75
63,84.33
209,64.22
238,54.65
66,65.88
67,88.44
68,84.31
74,47.34
75,57.33
73,80.99
79,85.24
81,58.16
84,74.97
86,54.75
89,59.96
90,53.87
175,47.78
91,60.03
93,43.33
95,55.59
96,84.7
97,77.54
99,83.3
100,61.26
101,66.14
102,56.95
103,45.38
104,83.1
105,75.31
106,77.58
109,69.79
110,80.44
112,63.62
108,84.15
114,65.36
83,54.2
117,88.39
275,79.5
118,66.56
113,63.95
120,48.27
119,83.02
121,56.24
122,67.9
123,55.39
124,50.65
126,81.5
256,78.97
154,82.31
129,59.82
130,60.13
131,76.79
132,59.9
133,58.12
134,72.37
127,61.73
136,51.24
137,81.85
138,74.36
145,58.06
146,78.31
141,66.31
273,76.63
143,75.04
144,61.1
28,48.75
147,67.62
149,62.52
150,85.22
156,84.34
157,62.58
158,59.32
159,48.75
162,88.61
221,73.19
165,57.59
180,57.27
166,62.17
168,55.76
169,63.9
170,64.6
171,62.1
173,80.04
174,84.51
177,74.76
179,68.88
183,79.26
185,75.8
184,74.21
244,64.69
192,72.28
193,48.56
194,51.73
195,56.86
272,77.34
196,68.89
197,57.79
200,87.92
199,79.13
198,82.93
25,61.66
201,31.01
202,68.58
277,46.27
203,84.3
38,61.25
188,59.88
189,67.16
191,59.94
276,50.09
207,53.63
210,85.41
211,79.18
212,49.66
214,83.56
208,61.81
215,47.16
216,80.78
176,45.97
217,55.26
219,66.2
220,58.02
222,67.73
223,74.11
226,60.63
230,69.03
225,77.78
229,86.09
231,86.19
234,68.17
235,68.2
155,62.99
236,24.03
237,63.52
299,56.32
249,43.11
251,66.95
181,48.89
