Country Code,Political Risk,Commercial Risk
2,7,3
3,4,2
4,3,3
6,1,2
7,6,3
258,5,3
8,5,3
9,6,3
1,4,2
22,2,2
10,1,1
11,1,1
52,4,3
12,3,3
13,4,2
16,3,2
14,4,3
57,5,2
255,1,1
23,4,3
53,5,2
17,2,2
18,4,2
24,2,3
19,3,2
80,5,2
20,1,2
21,3,3
26,1,2
27,1,1
233,5,2
29,7,3
115,4,3
32,4,3
33,1,1
35,4,2
278,2,2
36,2,2
37,7,3
39,5,3
259,1,3
40,2,1
41,1,3
42,1,1
44,3,2
45,5,3
250,6,3
46,6,3
47,3,2
48,2,2
107,4,2
98,2,1
49,7,3
279,4,2
50,3,2
167,1,1
54,1,1
72,5,3
55,5,3
56,2,2
58,5,3
59,4,3
60,3,2
61,6,3
178,7,3
63,1,2
238,6,3
64,1,2
65,2,2
66,4,2
67,1,1
68,1,2
69,1,2
70,3,2
74,5,3
75,6,3
73,4,2
79,1,1
81,4,3
82,1,3
84,4,3
85,1,2
86,4,2
87,1,2
88,2,2
89,3,2
90,6,3
175,6,2
91,5,2
93,5,3
95,3,2
96,1,1
97,2,1
99,1,2
100,2,2
101,2,2
102,7,3
103,6,3
104,1,1
105,2,1
106,1,2
109,4,2
110,1,2
112,5,2
108,4,2
114,5,3
83,6,2
116,7,3
117,1,1
275,4,2
118,3,3
113,5,3
120,6,3
119,1,1
121,6,3
122,4,3
123,6,3
124,7,3
125,1,1
126,1,2
256,1,1
128,1,1
154,4,2
129,5,3
130,6,3
131,2,2
132,4,3
133,6,2
134,1,1
264,1,3
163,2,2
127,6,2
135,1,2
136,6,3
137,2,2
270,2,2
138,2,2
145,4,3
146,5,2
140,1,2
141,5,2
273,4,2
142,5,2
143,2,2
144,7,3
28,4,3
147,4,3
148,3,3
149,4,3
150,1,1
153,3,2
156,1,1
157,5,3
158,6,2
159,5,3
160,3,2
161,2,2
162,1,1
221,3,2
165,5,3
180,5,2
299,7,3
166,3,2
168,5,3
169,4,2
170,2,2
171,2,2
172,2,2
173,1,2
174,1,2
177,2,3
179,3,2
182,1,2
183,2,1
185,3,3
184,5,2
5,2,2
244,4,2
192,2,2
193,6,3
194,2,3
195,4,2
272,3,2
196,4,2
197,6,3
200,1,1
199,1,2
198,1,2
25,3,3
201,7,3
202,3,3
203,1,1
38,4,3
187,2,2
188,4,2
189,4,2
281,1,3
280,3,3
190,2,2
191,5,3
276,7,3
277,7,3
207,5,3
209,4,3
210,1,1
211,1,1
212,7,3
214,1,1
208,6,3
215,4,3
216,2,1
176,5,3
217,5,2
218,2,2
219,3,2
220,4,3
222,4,3
223,4,3
213,6,3
224,2,3
227,5,2
225,2,2
226,4,3
230,6,3
229,1,3
231,1,1
234,3,1
235,4,3
155,3,2
94,1,2
236,7,3
237,3,2
240,2,3
239,2,3
243,3,2
205,2,2
249,7,3
251,5,3
181,7,3
