index,test
0,True
1,False
2,True
3,False
4,False
5,False
6,False
7,False
8,True
9,False
10,False
11,False
12,False
13,False
14,True
15,False
16,True
17,False
18,False
19,False
20,False
21,True
22,False
23,False
24,False
25,False
26,False
27,False
28,False
29,True
30,False
31,False
32,False
33,False
34,False
35,False
36,False
37,False
38,False
39,True
40,True
41,False
42,False
43,True
44,False
45,False
46,False
47,False
48,False
49,False
50,False
51,True
52,False
53,True
54,False
55,True
56,True
57,False
58,False
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,True
71,False
72,True
73,False
74,False
75,False
76,True
77,True
78,False
79,False
80,False
81,False
82,True
83,False
84,False
85,True
86,False
87,False
88,False
89,True
90,False
91,False
92,False
93,True
94,True
95,False
96,False
97,False
98,True
99,True
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,False
113,False
114,False
115,True
116,False
117,True
118,True
119,False
120,True
121,True
122,True
123,False
124,True
125,True
126,False
127,False
128,True
129,False
130,False
131,False
132,True
133,False
134,False
135,False
136,False
137,True
138,False
139,False
140,False
141,False
142,True
143,False
144,False
145,False
146,False
147,False
148,False
149,False
150,True
151,False
152,False
153,False
154,False
155,False
156,True
157,False
158,False
159,False
160,True
161,False
162,False
163,False
164,False
165,True
166,True
167,False
168,False
169,True
